id,company,latitude,longitude,SIC,rev,infl_adj_rev,norm_rev
202,General Motors,42.368697,-83.07538,Transportation Equipment,9823530000,86348828700,1
435,Standard Oil (N. J.),40.758943,-73.979356,Oil and Gas Extraction,5661380000,49763530200,0.576308109203107
185,Ford,42.314429,-83.21036,Transportation Equipment,5594020000,49171435800,0.569451103625682
475,U.S. Steel,40.440217,-79.997698,Primary Metal Industries,3250370000,28570752300,0.33087596821102
199,General Electric,40.757037,-73.972469,"Machinery, Except Electrical",2959080000,26010313200,0.301223694537503
453,Swift,41.818615,-87.648497,Food and Kindred Products,2510810000,22070019900,0.255591421820873
105,Chrysler,42.443296,-83.040232,Transportation Equipment,2071600000,18209364000,0.210881424498118
44,Armour,41.815974,-87.655299,Food and Kindred Products,2056150000,18073558500,0.209308670101277
222,Gulf Oil,40.442587,-79.99523,Oil and Gas Extraction,1705330000,14989850700,0.173596456670871
423,Socony-Vacuum Oil,40.750916,-73.975455,Oil and Gas Extraction,1703580000,14974468200,0.173418312968963
162,Du Pont (E. I.) de Nemours,41.649743,-87.670055,Chemicals and Allied Products,1687650000,14834443500,0.171796696299599
65,Bethlehem Steel,40.070372,-80.725372,Primary Metal Industries,1667380000,14656270200,0.169733283249504
434,Standard Oil (Ind.),41.870201,-87.624742,Oil and Gas Extraction,1660340000,14594388600,0.16901663658583
497,Westinghouse Electric,40.441847,-80.005536,Electric and Electronic Equipment,1631050000,14336929500,0.166035019997903
458,Texas Co.,40.75146,-73.976035,Oil and Gas Extraction,1574370000,13838712300,0.16026519998412
495,Western Electric,40.710883,-74.00985,Electric and Electronic Equipment,1526230000,13415561700,0.155364721235645
413,Shell Oil,40.758921,-73.978144,Oil and Gas Extraction,1312060000,11533007400,0.133562986014192
328,National Dairy Products,40.750683,-73.981123,Food and Kindred Products,1210330000,10638800700,0.123207238131303
437,Standard Oil of California,37.790841,-122.40128,Oil and Gas Extraction,1113340000,9786258600,0.113334005189581
215,Goodyear Tire & Rubber,41.065802,-81.482782,Chemicals and Allied Products,1090090000,9581891100,0.110967238864237
72,Boeing Airplane,47.532531,-122.311605,Transportation Equipment,1033180000,9081652200,0.105174005678203
418,Sinclair Oil,40.757606,-73.978314,Oil and Gas Extraction,1021460000,8978633400,0.103980951857428
248,International Harvester,41.88552,-87.624976,"Machinery, Except Electrical",994070000,8737875300,0.101192748431572
377,Radio Corporation of America,40.758943,-73.979356,Electric and Electronic Equipment,940950000,8270950500,0.0957853236056692
479,Union Carbide & Carbon,40.755882,-73.975584,Chemicals and Allied Products,923690000,8119235100,0.0940283177228552
182,Firestone Tire & Rubber,41.050736,-81.531275,Chemicals and Allied Products,916050000,8052079500,0.0932505932185274
157,Douglas Aircraft,34.018996,-118.453465,Transportation Equipment,915220000,8044783800,0.0931661022056226
372,Procter & Gamble,39.103154,-84.509963,Chemicals and Allied Products,911050000,8008129500,0.0927416112130772
388,Republic Steel,41.120129,-80.624172,Primary Metal Industries,846310000,7439064900,0.0861513122065082
