id,company,latitude,longitude,SIC,rev,norm_rev
966,Wal-Mart Stores,36.365584,-94.21815,General Merchandise Stores,4.86E+11,1
682,Exxon Mobil,32.890006,-96.949909,Petroleum and Coal Products,3.69E+11,0.760692349032536
610,Chevron,37.758251,-121.958097,Petroleum and Coal Products,1.92E+11,0.395979829136561
576,Berkshire Hathaway,41.257203,-95.965464,Insurance Carriers,1.90E+11,0.390539708556144
549,Apple,37.331712,-122.030184,Industrial/Commercial Machinery and Computer Equipment,1.83E+11,0.37639168868179
202,General Motors,42.368697,-83.07538,Transportation Equipment,1.56E+11,0.321218323446261
859,Phillips 66,29.732199,-95.550192,Petroleum and Coal Products,1.47E+11,0.301848446724088
696,Ford Motor,42.317437,-83.209489,Transportation Equipment,1.44E+11,0.296667771712608
636,CVS Health,41.990756,-71.477265,Miscellaneous Retail,1.39E+11,0.286969449254712
795,McKesson,37.788775,-122.402666,Wholesale Trade Nondurable Goods,1.37E+11,0.282902742916209
199,General Electric,40.757037,-73.972469,"Machinery, Except Electrical",1.32E+11,0.271800119839144
957,Valero Energy,29.584281,-98.606243,Petroleum and Coal Products,1.31E+11,0.269419809698734
951,UnitedHealth Group,44.897394,-93.403187,Insurance Carriers,1.30E+11,0.268657945726458
958,Verizon,40.754728,-73.984856,Communications,1.27E+11,0.261667329007868
542,AmerisourceBergen,40.068608,-75.468305,Wholesale Trade Nondurable Goods,1.20E+11,0.246203549462474
631,Costco,47.548675,-122.050648,General Merchandise Stores,1.13E+11,0.231936102262736
728,HP,37.412037,-122.148438,Industrial/Commercial Machinery and Computer Equipment,1.11E+11,0.229494019367818
763,Kroger,39.106763,-84.513954,Other,1.08E+11,0.223339393926915
681,Express Scripts Holding,38.718791,-90.310458,Miscellaneous Retail,1.01E+11,0.207735596137967
733,IBM,41.108302,-73.720468,Business Services,92793000000,0.191069306971467
786,Marathon Petroleum,41.036092,-83.649443,Petroleum and Coal Products,91254000000,0.187900364665161
595,Cardinal Health,40.109185,-83.120746,Wholesale Trade Nondurable Goods,91084000000,0.187550319056277
754,JP Morgan Chase,40.755882,-73.975584,Depository Institutions,91066000000,0.187513255403572
581,Boeing,41.883817,-87.638659,Transportation Equipment,90762000000,0.186887291491215
534,Amazon.com,47.622288,-122.336494,Miscellaneous Retail,88988000000,0.183234462607922
800,Microsoft,47.639583,-122.128381,Business Services,86833000000,0.178797119742366
724,Home Depot,33.848404,-84.432327,Other,83176000000,0.171267020967732
971,Wells Fargo,37.793377,-122.40262,Depository Institutions,82952000000,0.170805784400732
569,Bank of America Corp.,35.22792,-80.84312,Depository Institutions,81972000000,0.168787874420108
552,Archer Daniels Midland,41.886405,-87.630688,Other,81201000000,0.16720031462923
372,Procter & Gamble,39.103154,-84.509963,Chemicals and Allied Products,80510000000,0.165777482183708
967,Walgreens,42.15553,-87.868503,Miscellaneous Retail,76392000000,0.157298142081454
257,Johnson & Johnson,40.499822,-74.445175,Chemicals and Allied Products,74331000000,0.153054353846692
547,Anthem,39.769063,-86.158684,Insurance Carriers,73874000000,0.15211334888634
797,MetLife,40.753522,-73.97663,Insurance Carriers,73290000000,0.150910839265234
921,Target,44.973853,-93.275819,General Merchandise Stores,72618000000,0.149527129564234
615,Citigroup,40.759119,-73.971885,Other,70054000000,0.144247618145541
621,Comcast,39.954703,-75.168496,Communications,68775000000,0.141614039711645
853,PepsiCo,41.034966,-73.693434,Other,66683000000,0.137306419630558
532,Alphabet,37.42245,-122.084086,Business Services,66001000000,0.135902119011389
950,United Technologies,41.765498,-72.673927,Transportation Equipment,65100000000,0.134046877284305
522,AIG,40.706364,-74.00516,Insurance Carriers,63587000000,0.13093147136524
954,UPS,33.943243,-84.360172,Other,58232000000,0.119905034685402
158,Dow Chemical,43.612956,-84.195927,Chemicals and Allied Products,58167000000,0.119771193717299
870,Prudential Financial,40.736961,-74.172077,Insurance Carriers,58053000000,0.119536457250165
517,Aetna,41.766781,-72.689567,Insurance Carriers,58003000000,0.119433502659317
782,Lowe's,36.15274,-81.186524,Other,56223000000,0.115768319225123
741,Intel,37.387591,-121.963787,Other,55870000000,0.115041459813735
670,Energy Transfer Equity,32.813755,-96.802878,Other,55691000000,0.114672882378498
627,ConocoPhillips,29.78823,-95.613463,Other,55336000000,0.113941904783476
598,Caterpillar,40.691726,-89.588411,Industrial/Commercial Machinery and Computer Equipment,55184000000,0.113628922827298
856,Pfizer,40.750303,-73.972656,Chemicals and Allied Products,49605000000,0.10214124958046
968,Walt Disney,34.156201,-118.325216,Communications,48813000000,0.100510448861425
730,Humana,38.256469,-85.758894,Insurance Carriers,48500000000,0.0998659531227157
672,Enterprise Products Partners,29.757638,-95.368938,Other,47951000000,0.0987355117152029
614,Cisco Systems,37.408351,-121.954079,Industrial/Commercial Machinery and Computer Equipment,47142000000,0.0970697064352797
919,Sysco,29.759024,-95.619756,Wholesale Trade Nondurable Goods,46517000000,0.0957827740496777
737,Ingram Micro,33.722041,-117.847827,Other,46487000000,0.0957210012951688
618,Coca-Cola,33.771161,-84.397288,Other,45998000000,0.0947141053966737
780,Lockheed Martin,39.03099,-77.138944,Transportation Equipment,45600000000,0.0938945868535224
687,FedEx,35.10565,-89.858314,Other,45567000000,0.0938266368235626
861,Plains GP Holdings,29.757348,-95.371932,Wholesale Trade Nondurable Goods,43464000000,0.089496366732489
982,World Fuel Services,25.81179,-80.337494,Wholesale Trade Nondurable Goods,43386000000,0.0893357575707658
611,CHS,44.86948,-93.062548,Wholesale Trade Nondurable Goods,42664000000,0.0878490932789184
536,American Airlines Group,32.828066,-97.050714,Other,42650000000,0.0878202659934809
308,Merck,40.612258,-74.267042,Chemicals and Allied Products,42237000000,0.0869698610730751
644,Delta Air Lines,33.656378,-84.423231,Other,40362000000,0.0831090639162691
577,Best Buy,44.863965,-93.305345,Other,40339000000,0.0830617048044789
725,Honeywell International,40.7913,-74.44328,Other,40306000000,0.0829937547745191
927,Tesoro,29.615955,-98.459022,Petroleum and Coal Products,40052000000,0.0824707454530105
911,State Farm Insurance,40.478165,-88.954401,Insurance Carriers,39809000000,0.0819703861414884
774,Liberty Mutual Insurance Group,42.350059,-71.071804,Insurance Carriers,39631000000,0.081603867798069
946,United Continental Holdings,41.878885,-87.635878,Other,38901000000,0.0801007307716858
751,Johnson Controls,43.123943,-87.936988,Other,38749000000,0.0797877488155074
840,Oracle,37.530673,-122.262446,Business Services,38275000000,0.0788117392942669
942,Tyson Foods,36.154014,-94.154592,Other,37580000000,0.0773806704814774
716,HCA Holdings,36.153131,-86.814549,Other,36918000000,0.0760175516986478
892,Safeway,37.69727,-121.9331,Other,36330000000,0.0748068057102734
813,Nationwide,39.968221,-83.002731,Insurance Carriers,36257000000,0.0746564920076351
153,Deere,41.476831,-90.424373,"Machinery, Except Electrical",36067000000,0.0742652645624121
530,Allstate,42.100946,-87.871105,Insurance Carriers,35239000000,0.0725603365379666
613,Cigna,41.812518,-72.743326,Insurance Carriers,34914000000,0.0718911316974535
660,DuPont,39.755403,-75.605112,Chemicals and Allied Products,34906000000,0.0718746589629178
706,Goldman Sachs Group,40.714867,-74.01428,Other,34528000000,0.0710963222561057
805,Morgan Stanley,40.755783,-73.986471,Other,34274000000,0.0705733129345971
803,Mondelez International,42.16334,-87.879553,Other,34244000000,0.0705115401800882
931,TIAA-CREF,40.753128,-73.972736,Insurance Carriers,34230000000,0.0704827128946507
743,INTL FCStone,40.75243,-73.973739,Other,34012000000,0.0700338308785527
648,DirecTV,33.930321,-118.384053,Communications,33260000000,0.0684853938321964
711,Halliburton,29.938703,-95.339978,Other,32870000000,0.0676823480235807
538,American Express,40.713652,-74.014807,Other,32248000000,0.0664015929134296
941,Twenty-First Century Fox,40.758553,-73.982136,Communications,31867000000,0.0656170789311666
510,3M,44.958186,-93.002411,Other,31821000000,0.0655223607075863
898,Sears Holdings,42.077755,-88.214971,General Merchandise Stores,31198000000,0.0642395465056182
198,General Dynamics,40.758062,-73.978865,Transportation Equipment,30852000000,0.063527100736949
872,Publix Super Markets,28.004476,-82.013437,Other,30560000000,0.0629258459263957
858,Philip Morris International,40.751726,-73.978356,Other,29767000000,0.0612929861155439
934,TJX,42.310759,-71.382289,Other,29078000000,0.0598742718536562
857,PG&E Corp.,37.792242,-122.3965,Other,28137000000,0.0579366664538938
783,Macy's,39.103259,-84.514131,General Merchandise Stores,28105000000,0.057870775515751
825,Nike,45.506853,-122.824958,Other,27799000000,0.0572406934197603
922,Tech Data,27.917127,-82.707835,Other,27671000000,0.056977129667189
566,Avnet,33.427445,-111.979939,Other,27500000000,0.0566250249664883
793,McDonald's,41.847583,-87.945502,Other,27441000000,0.0565035385492874
678,Exelon,41.881591,-87.629831,Other,27429000000,0.0564788294474839
932,Time Warner,40.768425,-73.98319,Communications,27359000000,0.0563346930202965
819,New York Life Insurance,40.743057,-73.98617,Insurance Carriers,27287000000,0.0561864384094751
938,Travelers Cos.,40.754204,-73.973611,Insurance Carriers,27162000000,0.0559290519323547
830,Northwestern Mutual,43.039231,-87.902089,Insurance Carriers,26707000000,0.0549921651556365
875,Qualcomm,32.895964,-117.195838,Other,26487000000,0.0545391649559046
790,Massachusetts Mutual Life Insurance,42.116889,-72.547552,Insurance Carriers,26392000000,0.054343551233293
685,Fannie Mae,38.940483,-77.076563,Other,25895000000,0.0533201826002623
888,Rite Aid,40.256666,-76.913995,Miscellaneous Retail,25526000000,0.0525603777198029
704,Gilead Sciences,37.566961,-122.281633,Chemicals and Allied Products,24890000000,0.0512507953242143
567,Baker Hughes,29.760711,-95.397342,Other,24551000000,0.0505527631982638
668,Emerson Electric,38.73128,-90.27871,Other,24537000000,0.0505239359128263
666,EMC,42.19421,-71.544776,Industrial/Commercial Machinery and Computer Equipment,24440000000,0.0503242040065809
945,Union Pacific,41.259172,-95.93518,Other,23988000000,0.0493934945053135
829,Northrop Grumman,38.867543,-77.215661,Other,23979000000,0.0493749626789608
526,Alcoa,40.759598,-73.972845,Other,23906000000,0.0492246489763225
956,USAA,29.534364,-98.574582,Insurance Carriers,23810000000,0.049026976161894
