year,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,India,Indonesia,Israel,Italy,Japan,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Norway,Poland,Portugal,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1965,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
1966,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
1967,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
1968,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
1969,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1
1970,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1
1971,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1
1972,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1
1973,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,2
1974,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,2
1975,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,2
1976,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,3
1977,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,3
1978,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,4
1979,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,4
1980,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,4
1981,,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,1,5
1982,,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,1,5
1983,,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,1,6
1984,,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,1,7
1985,,,,,,,,,,,1,2,,,,,,1,1,,,,,,,,,,,,,,,,,1,7
1986,,,,,,,,,,,1,2,,,,,,1,1,,,,,,,,,,,,,,,,,1,7
1987,,,,,,,,,,,1,2,,,,,,1,1,,,,,,,,,1,,,,,,,,1,7
1988,,,,,,,,,,,1,2,,,,,,1,1,,,,,,,,,1,1,1,,,,,,1,7
1989,2,,,,,,,,,,1,2,,,,,,1,1,,,,,1,,,,1,1,1,,,,,,1,7
1990,2,,,,,,,,,,1,3,,,,,,1,1,,,,,1,,,,1,1,1,,,,,,1,7
