original address,latitude,longitude,accuracy,status code
"104 Boulevard Abdellatif Ben Kaddour, Casablanca 20050, Morocco",33.591146,-7.643676,5,200
"4 Sandown Valley Crescent, Sandton, Johannesburg 2031, South Africa",-26.10251,28.05077,9,200
"Torre Elyseé, Rua Rainha Ginga, Angola",-8.813621,13.23216,,602
"23 Albert St, Auckland 1010, New Zealand",-36.845931,174.764619,8,200
"U Chu Liang Building, Rama IV Road, Silom Bangrak, Bangkok 10500, Thailand",13.72624,100.526799,3,200
"Jian Guo Men Wai Avenue Chaoyang District, Beijing 100022, China",39.892987,116.473729,3,200
"16 Marcus Clarke Street, Canberra ACT 2601, Australia",-35.282223,149.124343,9,200
"Taj Connemara, Binny Road, Chennai 600 002, India",13.062713,80.261379,9,200
"2 Ngo Duc Ke, Ben Nghe Ward Dist 1, Ho Chi Minh City, Vietnam",10.823099,106.629664,3,200
"Times Square, Causeway Bay, Hong Kong, China",22.285979,114.191492,3,200
"Sampoerna Strategic Square, Jl. Jenderal Sudirman Kav. 45-46, Jakarta 12930, Indonesia",-6.223833,106.819313,3,200
"No. 8 Jalan Sultan Ismail, Kuala Lumpur 50250, Malaysia",3.155226,101.70677,9,200
"101 Collins Street, Melbourne, VIC 3000, Australia",-37.814566,144.970685,9,200
"Nariman Bhavan 227, Nariman Point, Mumbai 400 021, India",18.925903,72.821567,9,200
"1-4 Meieki 1-chome, Nakamura-ku, Nagoya, Aichi 450-6036, Japan",35.170711,136.882545,9,200
"Building No- 10, DLF Cybercity, Phase-II, Gurgaon, Haryana 122 002, India",28.485475,77.089492,9,200
"108 St Georges Terrace, Perth, WA 6000, Australia",-31.954454,115.857115,9,200
"26, Euljiro 5-gil, Seoul, Jung-gu 100-210, Korea",37.56727,126.984831,3,200
"Shanghai ifc, 8 Century Avenue, Shanghai 200120, China",31.233592,121.523688,3,200
"50 Raffles Place, #44-02/03, Singapore 048623, Singapore",1.284542,103.851951,9,200
"9 Raffles Plaza, Singapore 048619, Singapore",1.283243,103.850836,9,200
"161 Castlereagh Street, Sydney, NSW 2000, Australia",-33.872245,151.208753,9,200
"No. 7, Xin Yi Road Sec. 5, Taipei 110, Taiwan",25.030934,121.561909,5,200
"4-1, Kioi-cho, Chiyoda-ku, Tokyo 102-0094, Japan",35.681079,139.734928,9,200
"Urban Plaza, 07th Floor, Bogotá, Colombia",4.710989,-74.072092,3,200
"Bouchard 547-10°, Buenos Aires C1106ABG, Argentina",-34.601205,-58.369195,8,200
"27o. andar – Cjs # 2701 / 2702, Rio de Janeiro 22290-160, Brazil",-22.976982,-43.676908,5,200
"Av. Costanera Sur 2730, Parque Titanium, Las Condes, Santiago, Chile",-33.408784,-70.567069,3,200
"Rua Surubim, 373 - 3o. andar, São Paulo, SP 04571-050, Brazil",-23.601574,-46.692633,9,200
"1st Floor Airport Road, PO Box 109619, Abu Dhabi, United Arab Emirates",24.401616,54.595083,5,200
"1082 MC Amsterdam, Amsterdam 1080 JN, The Netherlands",52.354669,4.955044,8,200
"Vassilissis Sophias Ave, Athens GR-10674, Greece",37.984856,23.759898,,602
"Avda. Diagonal, 640 - 5°A, Barcelona 08017, Spain",41.391027,2.135807,9,200
"Schützenstraße 40, Berlin 10117, Germany",52.509251,13.398466,9,200
"Unter den Linden 10, 10117 Berlin, Germany",52.517587,13.390282,9,200
"Boulevard de l'Impératrice, Brussels 1000, Belgium",50.846721,4.356857,5,200
"Piarista köz 2, Budapest 1052, Hungary",47.492632,19.052601,8,200
"Im Mediapark 8, KölnTurm, Köln D-50670, Germany",50.948031,6.943108,9,200
"Im Mediapark 5c, 50670 Cologne, Germany",50.94862,6.94484,9,200
"Kalvebod Brygge 24, Copenhagen V 1560, Denmark",55.668059,12.570814,9,200
"Office Park at Dubai Internet City, Block D, 4th Floor PO Box 32257, Dubai, United Arab Emirates",25.204849,55.270783,3,200
"Königsallee 2, Düsseldorf 40212, Germany",51.22707,6.781099,9,200
"Bockenheimer Landstraße 47, Frankfurt 60325, Germany",50.11697,8.66515,9,200
"Bockenheimer Landstr. 43, 60325 Frankfurt, Germany",50.11687,8.66547,9,200
"Rue de Rive 10, Geneva 1204, Switzerland",46.202098,6.150809,9,200
"Chilehaus A, Fischertwiete 2, Hamburg D-20095, Germany",53.548512,10.001453,3,200
"Kluuvikatu 3 A, Helsinki 00100, Finland",60.168708,24.947621,9,200
"Kanyon Ofis, Buyukdere Cad. No:185 K:16, Istanbul, Levent 34394, Turkey",,,,602
"25B Sagaydachnogo str., Kiev 04070, Ukraine",,,,602
"Rua das Chagas. 7 - 15, Lisbon 1200-106, Portugal",38.709924,-9.145384,9,200
"20 Manchester Square, London W1U 3PZ, United Kingdom",51.516948,-0.153664,9,200
"2nd Floor, 7 Stratford Place, London W1C 1AY, United Kingdom",51.515135,-0.14904,9,200
"7 Birchin Lane, London EC3V 9BW, United Kingdom",51.512972,-0.086559,9,200
"25 Canada Square, Canary Wharf, London E14 5LQ, United Kingdom",51.50448,-0.018164,9,200
"Alcalá, 95-2nd Floor, Madrid 28009, Spain",40.421378,-3.683809,9,200
