year,United States,Cuba,Panama,Canada,Hawaii,Puerto Rico,Philippines,Guam,France,Belgium,Bermuda,Colombia,Honduras,Italy,Mexico,Haiti,Myanmar,Antigua,China,South Africa,Dominican Republic,Guatemala,Netherlands,Spain,Venezuela,Morocco,West Germany,Germany,Alaska,Curaçao,Indonesia,United Kingdom,Singapore,Peru,Bahamas,Denmark,Switzerland,Australia,Austria,Guyana,Suriname,Jamaica,Luxembourg,Norway,Scotland,Virgin Islands,Trinidad,New Zealand,Ireland,Ecuador,El Salvador,Bolivia,Chile,Nicaragua,Argentina,Brazil,Costa Rica,Iceland,Uruguay,Aruba,Saint Lucia,Martinique,Barbados,Egypt,Japan,Liberia,Rhodesia,Guadeloupe,Kenya,Thailand,Tunisia,Algeria,Cyprus,Congo,India,Iraq,Lebanon,Mozambique,Zambia,Monaco,Kuwait,Malta,New Caledonia,Tanzania,Channel Islands,Isle of Man,Mauritius,Nigeria,Pakistan,Sweden,Madagascar,Malaysia,Saudi Arabia,Sudan,Aden,Uganda,Saint Kitts and Nevis,Ghana,Iran,Malawi,Finland,Iraq,Ivory Coast,Réunion,Senegal,Sierra Leone,Taiwan,Southwest Africa,Angola,Dominica,Burundi,Ethiopia,Grenada,South Vietnam,Ceylon,Qatar,Spanish Guinea,Bahrain,Belize,Dahomey,French Guiana,Libya,Saint Lucia,Tahiti,Swaziland,Cambodia,Cameroon,Montserrat,American Samoa,French Somaliland,Trucial States,Turkey,Bulgaria,Western Samoa,Gambia,Sarawak,Niger,Upper Volta,Togo,Papua New Guinea,Somali Republic,Somalia,Somaliland,South Korea,Israel,Saipan,Yugoslavia,Hungary,Saint Vincent and the Grenadines,Wales,Greece,Czechoslovakia,Czech Republic,Poland,Yemen,Soviet Union,Russia,Oman,United Arab Emirates,Romania,Jordan,Seychelles,Albania,Vietnam,"Palestinian Territory, Occupied",Benin,Namibia
1891,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
