year,Algeria,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Colombia,Cuba,Czech Republic,Democratic Republic of the Congo,Denmark,Egypt,Finland,France,Germany,Greece,India,Ireland,Italy,Jamaica,Japan,Kuwait,Malaysia,Mexico,Netherlands,1 Zealand,Norway,Panama,Peru,Philippines,Poland,Portugal,South Africa,Romania,South Korea,Spain,Sweden,Switzerland,"Taiwan, Province of China",Thailand,Turkey,United Kingdom,United States,Uruguay,"Venezuela, Bolivarian Republic of",Vietnam,West Germany,Zimbabwe
1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1905,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1910,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
1915,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1920,0,2,2,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1925,0,2,2,0,2,2,2,1,0,0,2,0,0,2,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1930,0,2,2,0,2,2,2,2,0,1,2,0,0,2,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1935,0,2,2,0,2,2,2,2,0,2,2,0,0,2,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1940,1,2,2,0,2,2,2,2,0,2,2,0,0,2,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1945,2,2,2,1,2,2,2,2,0,2,2,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1950,2,2,2,2,2,2,2,2,0,2,2,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1955,2,2,2,2,2,2,2,2,0,2,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1960,0,2,2,2,2,2,2,2,0,2,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1965,0,2,2,2,2,2,2,2,0,2,0,0,1,2,2,2,1,0,0,0,0,2,1,0,0,1,1,1,1,1,0,1,1,0,0,1,2,0,0,1,1,0,0,0,2,2,1,1,0,1,1
1970,0,2,2,2,2,2,2,2,0,2,0,0,0,2,2,2,2,0,0,0,1,2,0,0,0,2,2,2,2,2,0,2,2,0,0,2,0,1,0,2,2,1,1,0,2,2,2,2,0,2,0
1975,0,2,2,2,2,2,2,2,0,2,0,0,0,2,2,2,2,0,0,0,2,2,0,1,0,2,2,2,2,2,0,0,2,1,0,2,0,2,1,2,2,2,2,0,2,2,2,2,0,2,0
1980,0,2,2,2,2,2,2,2,0,2,0,0,0,2,2,2,2,0,0,0,2,2,0,2,0,2,2,2,2,2,0,0,2,2,0,2,0,2,2,2,2,2,2,0,2,2,2,2,0,2,0
1985,0,2,2,2,2,2,2,2,0,2,0,0,0,2,0,2,2,0,0,0,2,2,0,2,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2,2,2,2,2,0,2,2,0,2,0,2,0
1990,0,2,2,2,2,2,2,2,0,2,0,0,0,2,0,2,2,0,0,0,2,2,0,2,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2,2,2,2,2,0,2,2,0,2,0,2,0
1995,0,2,2,2,2,2,2,2,0,2,0,0,0,2,0,2,2,1,0,0,2,2,0,2,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2,2,2,2,2,0,2,2,0,2,0,0,0
2000,0,2,2,2,2,2,2,2,0,2,0,0,0,2,0,2,2,2,0,0,2,2,0,2,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2,2,2,2,2,0,2,2,0,2,0,0,0
2005,0,2,2,2,2,2,2,2,0,2,0,0,0,2,0,2,2,2,0,0,2,2,0,2,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2,2,2,2,2,0,2,2,0,2,0,0,0
2010,0,2,2,2,2,2,2,2,1,2,0,1,0,2,0,2,2,2,1,1,2,2,0,2,1,2,2,2,2,2,0,0,1,2,1,2,0,2,2,2,2,2,2,1,2,2,0,2,1,0,0
