year,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Ivory Coast,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa Rica,Croatia,Cyprus,Czech Republic,Czechoslovakia,Democratic Republic of the Congo,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Slovakia,Slovenia,Solomon Islands,Somalia,Somaliland,South Africa,South Korea,Soviet Union,Spain,Sri Lanka,Suriname,Swaziland,Sweden,Switzerland,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1920,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1925,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1930,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,
1935,,,,,2,,1,1,,,,,,,,,,,,2,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,2,,,,,,,
1940,,,,,2,,2,2,,,,,1,,,,,,,2,,1,,,,,,2,,,2,,1,,,,,,,1,,,,,,,,,,,,,1,2,2,,,2,,,,,,,,,1,,,1,,,,2,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,2,,,,1,,,
1945,,,,,2,,2,2,,,,,2,,,,,,,2,,2,,,,,,2,,,2,,2,,,,,,,2,,,,,,,,,,,,,2,2,2,,,2,,,,,,,,,2,,,2,,,,2,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,2,2,1,,1,,,,,,,,,,,,,,1,,,,2,2,,,,,,,,1,,,,,2,2,,,1,2,,,
1950,,,,,2,,2,2,,,,,2,,,,,,,2,,2,,,,,,2,,,2,,2,,,,,,,2,,,,,,,,,,,,,2,2,2,,,2,,,,,,,,,2,,,2,,,,2,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,2,,,,,,,2,2,2,,2,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,2,,,,,2,2,,,2,2,,,
1955,,,,,2,,2,2,,,,,2,,,,,,,2,,2,,,,,,2,,,2,,2,,,,,,,2,,1,,,,,,,,,,,2,2,2,,,2,,,,,,,,,2,,1,2,,,1,2,,2,,,,,,,,,,,,,1,,,,,,,2,,,,,,,2,,,,,2,,1,,,,,2,2,2,,2,,,,,,,,,,,,,,2,,,,2,2,,,,1,,,,2,,,,,2,2,,,2,2,,,
1960,,,,,2,,2,2,,,,,2,,,,,,,2,,2,,,,,,2,,,2,1,2,,,,,,,2,,2,,,,1,,,,,,,2,2,2,,,2,,,,,,,,,2,,2,2,,1,2,2,,2,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,1,,,,2,,2,,,,,2,2,2,,2,,,,,,,,,,,,,,2,,,,2,2,,,,2,,1,,2,,,,,2,2,,,2,2,,,
1965,,,,,2,,2,2,,,,,2,,,,,,,2,,2,,,,,,2,,,2,2,2,,,,,,,2,,2,,,,2,,,,,,,2,2,2,,,2,,1,,,,,,,2,1,2,2,,2,2,2,,2,,,,,,,,,,,,,2,,,1,,,,2,,,,,,,2,2,,,,2,,2,,,,1,2,2,2,,2,,,,,,,,,,,,,,2,,,,2,2,,,,2,,2,,2,,,,1,2,2,,,2,2,,,
1970,,,,,2,,2,2,,,,,2,,,,,,,2,,2,,,,,,2,,,2,2,2,,,,,1,,2,,2,,,,2,,,,,,,2,2,2,,,2,,2,,,,,,,2,2,2,2,1,2,2,2,,2,,,,,,,,,,,,,2,,,2,,,,2,,,,,,,2,2,,,,2,,2,,,,2,2,2,2,,2,,,,,,,,,,,,1,,2,,,,2,2,,,,2,,2,,2,,,,2,2,2,,,2,2,,,
1975,,,,,2,,2,2,,,,,2,,,,,,,2,,2,,,,,,2,,,2,2,2,,,,,2,,2,,2,,,,2,,,,,,,2,2,2,,,2,,2,,,,,,,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,2,,,2,,,,2,,,,,,,2,2,,,,2,,2,,,,2,2,2,2,,2,,,,,,,,,,,,2,,2,,,,2,2,,,,2,,2,,2,,,,2,2,2,,,2,2,,,
1980,,,,,2,,2,2,,,,,2,,,,,,,2,,2,,,,,,2,,,2,2,2,,,,,2,,2,,2,,,,2,,,,,,,2,2,2,,,2,,2,,,,,,,2,2,2,2,,2,2,2,2,2,,,,,,,,,,,,,2,,,2,,,,2,,,,,,,2,2,,,,2,,2,,,,2,2,2,2,,2,,,,,,,,,,,,2,1,2,,,,2,2,,,,2,,2,,2,,,,2,2,2,,,2,,,,
1985,,,1,,2,,2,2,,1,,,2,,,,1,,,2,1,2,,,1,1,1,2,,,2,2,2,,1,1,,2,,2,1,2,1,1,1,2,1,,,,1,,2,2,2,,,2,1,2,1,,,,1,1,2,2,2,2,,2,2,2,2,2,1,,1,1,,,,1,,,1,,2,,,2,,,,2,,,1,,,,2,2,1,,1,2,1,2,1,,1,2,2,2,2,,2,,,,1,,,,,1,1,1,2,2,2,1,,,2,2,1,,,2,,2,1,2,,,,2,2,2,1,,2,,,1,
1990,,,2,,2,,2,2,,2,,1,2,,,1,2,,,2,2,2,,,2,2,2,2,,,2,2,2,,2,2,,2,,2,2,2,2,2,2,2,2,,,,2,,2,2,2,,,2,2,2,2,,,,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,,,,2,,,,,2,,,2,,,,2,,,2,,,,2,2,,,2,2,2,2,2,,2,2,2,2,2,1,2,,,1,2,,,,,,,,2,2,2,2,,,2,2,2,,,2,,2,2,2,,,,2,2,2,2,,2,,,2,
1995,,,2,,2,,2,2,,2,,2,2,,1,2,2,,,2,2,2,,,2,2,2,2,,,2,2,2,,2,2,,2,1,,2,2,2,2,2,2,2,,,,2,,2,2,2,,,2,2,2,2,,,,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,,,1,2,,,,1,2,,,2,,,,2,,,2,,,,2,2,,,2,2,2,2,2,,2,2,2,2,2,2,2,1,,2,2,,1,1,,,,,2,,2,2,,,2,2,2,,,2,,2,2,2,,,,2,2,2,2,,2,1,,2,
2000,,,2,,2,,2,2,,2,,2,2,1,2,2,2,1,,2,2,2,,1,2,2,2,2,,1,2,2,2,,2,2,1,2,2,,2,2,2,2,2,2,2,1,,1,2,1,2,2,2,,,2,2,2,2,1,,,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,,,2,2,1,,,2,2,,,2,,,,2,,,2,,,,2,2,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,2,,2,2,,,,1,2,,2,2,,,2,2,2,,,2,,2,2,2,,,,2,2,2,2,1,2,2,1,2,
2005,1,1,2,,2,1,2,2,,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,1,1,2,2,2,2,2,2,,2,2,2,2,2,2,1,2,2,1,,2,2,2,1,,2,2,,,2,,,1,2,,1,2,,1,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,2,2,1,,,2,2,,2,2,,,2,2,2,,,2,,2,2,2,,,,2,2,2,2,2,2,2,2,2,1
2010,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,,2,2,,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2
