year,Argentina,Brazil,Canada,China,Croatia,Czech Republic,Czechoslovakia,Denmark,Egypt,Estonia,Finland,France,Germany,Hungary,India,Japan,Kuwait,Latvia,Lithuania,Mexico,Morocco,North Yemen,Norway,Oman,Peru,Poland,Qatar,South Africa,Russia,Saudi Arabia,Slovenia,South Korea,Sweden,Switzerland,Taiwan,Thailand,United Arab Emirates,United Kingdom,United States,West Germany,Yemen
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1972,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
1973,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,
1974,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
1975,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
1976,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,2,
1977,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,2,2,
1978,,,2,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,,,,,2,2,
1979,,,2,,,,,,,,,2,2,,,1,,,,,,,,,,,,,,,,,2,2,,,,,2,2,
1980,,,2,,,,,,,,1,2,2,,,2,,,,,,,,,,,,,,,,,2,2,,,,,2,2,
1981,,,2,,,,,,,,2,2,2,,,2,,,,,,,,,,,,,,,,,2,2,,,,,2,2,
1982,,,2,,,,,,,,2,2,2,,,2,,,,,,,,,1,,,,,,,,2,2,,,,1,2,2,
1983,,,2,,,,,,,,2,2,2,,,2,,,,,,,,,2,,,,,,,,2,2,,,,2,2,2,
1984,,,2,,,,,,,,2,2,2,,,2,1,,,,,1,,1,2,,1,,,1,,,2,2,,,1,2,2,2,1
1985,,,2,,,,,,,,2,2,2,,,2,2,,,,,2,,2,2,,2,,,2,,,2,2,,,2,2,2,2,2
1986,,,2,,,,,,,,2,2,2,,,2,2,,,,,2,,2,2,,2,,,2,,,2,2,,,2,2,2,2,2
1987,,,2,,,,,,,,2,2,2,,,2,2,,,,,2,,2,2,,2,,,2,,,2,2,,,2,2,2,2,2
1988,,,2,,,,,,,,2,2,2,,,2,2,,,,,2,,2,2,,2,,,2,,,2,2,,1,2,2,2,2,2
1989,,,2,,,,,,,,2,2,2,,,2,2,,,1,,2,,2,2,,2,,,2,,1,2,2,,2,2,2,2,2,2
1990,,,2,,,,,1,,,2,2,2,,,2,2,,,2,,2,,2,2,,2,,,2,,2,2,2,,2,2,2,2,2,2
1991,,,2,,,,,2,,,2,2,2,,,2,2,,,2,,,,2,2,1,2,,,2,,2,2,2,,2,2,2,2,2,2
1992,1,,2,,,,1,2,,,2,2,2,,,2,2,,,2,,,,2,2,2,2,,,2,,2,2,2,,2,2,2,2,,2
1993,2,1,2,,,,2,2,1,,2,2,2,,,2,2,,,2,,,1,2,2,2,2,,,2,,2,2,2,1,2,2,2,2,,2
1994,2,2,2,,1,1,,2,2,,2,2,2,1,,2,2,,,2,,,2,2,2,2,2,,,2,1,2,2,2,2,2,2,2,2,,2
