"year","Albania","Australia","Austria","Belgium","Bulgaria","Denmark","France","Germany","Greece","India","Ireland","Italy","Japan","Netherlands","New Zealand","Norway","Philippines","Portugal","South Africa","Russia","Spain","Sweden","Switzerland","Turkey","United Kingdom","United States","Yugoslavia"
1875,,,7759.393,,,,11000,35240.607,,,1800,,,,,,,1000,,,5000,,,,28500,160000,
1876,,,9022.55,1000,,,12000,40977.45,,20,2150,,,,,,,1500,,,6000,,,,33650,160000,
1877,,1663.082,9076.6853,2000,,257.4378,15000,41223.3147,,30,2500,3000,,1000,336.918282,217.998,,2000,300,6800,8000,424.564956,500,,38800,160000,
1878,,2494.623,9581.9481,3000,,343.2504,15000,43518.0519,,70,2800,5000,,1200,505.377423,290.664,,2500,500,12500,12000,566.086608,500,,44000,160000,
1879,,3326.164,9906.7599,4000,,429.063,17500,44993.2401,,130,3100,7000,,1800,673.836564,363.33,,3000,700,18800,16000,707.60826,1000,,49200,189780,
1880,2.2830118257895,3783.51155,14472.1702,5064,4.5806049188281,514.8756,22500,65727.8298,6.76293290189752,250,3750,7500,,2000,766.48909155,435.996,,3961,750,22300,19205,849.129912,2102,45.3431477207171,58502,194191.797904289,
1881,6.52289093082713,7961.173534,16258.6351,5239,13.0874426252231,758.0113,24842,73841.3649,19.3226654339929,552,3829,8981,,2650,1612.827815934,641.883,,5521,1354,27262,24160,1250.107926,2700,129.55185063062,63588,198706.156461695,
1882,13.0457818616543,15080.827576,19362.3923,5409,26.1748852504463,1630.4394,26144,87937.6077,38.6453308679859,515,4494,10001,,5600,3055.174981176,1380.654,,5500,812,31600,18747,2688.911388,2424,259.10370126124,75321,203325.459890123,
1883,32.6144546541357,15791.795131,20607.5042,5567,65.4372131261157,1945.0856,26375,93592.4958,96.6133271699646,1088,4534,12514,,6700,3199.207546731,1647.096,278,4638,760,35400,20847,3207.824112,2418,647.759253153101,81402,208052.147833172,
1884,65.2289093082713,14802.261341,23133.8182,5667,130.874426252231,2459.9612,25695,105066.1818,193.226654339929,1607,5644,12920,,8400,2998.741168941,2083.092,674,3708,1203,36200,21349,4056.954024,3087,1295.5185063062,85767,212888.716648608,
1885,65.2289093082713,11264.054386,15338.335,6064,130.874426252231,2688.7948,28315,69661.665,193.226654339929,1761,5278,12486,,8520,2281.947523986,2276.868,494,3768,1767,41200,17900,4434.345096,3354,1295.5185063062,83454,217837.720726789,
1886,97.843363962407,10241.258956,12631.57,6200,196.311639378347,2917.6284,28900,57368.43,289.839981509894,2012,5155,11900,,8640,2074.742780556,2470.644,600,3894,1950,31200,19285,4811.736168,3457,1943.2777594593,77277,222901.773839749,
1887,65.2289093082713,10941.416478,12631.57,6350,130.874426252231,3146.462,29500,57368.43,193.226654339929,2131,5877,11350,,8760,2216.585377278,2664.42,700,3911,2140,32300,19369,5189.12724,3284,1295.5185063062,85340,228083.550521637,
1888,32.6144546541357,10810.033,12631.57,6492,65.4372131261157,3375.2956,30013,57368.43,96.6133271699646,2966,6022,10806,,8880,2189.968833,2858.196,782,4322,2327,52200,21406,5566.518312,3020,647.759253153101,92525,233385.787481244,
1889,110.889145824061,10810.033,13533.825,6765,222.486524628793,3604.1292,35096,61466.175,328.48531237788,3578,7341,15726,,9000,2189.968833,3051.972,1220,4831,3170,48100,23927,5943.909384,2965,2202.38146072054,119925,238811.285047377,
1890,176.118055132333,10810.033,16114.2743,7807,353.360950881025,3832.9628,40091,73185.7257,521.711966717809,3763,9138,18010,,9120,2189.968833,3245.748,1195,5065,3627,42000,26590,6321.300456,3328,3497.89996702675,140870,244362.908647823,
1891,189.163836993987,10810.033,15085.7036,7470,379.535836131471,4061.7964,42891,68514.2964,560.357297585795,4145,10328,20001,,9240,2189.968833,3439.524,1074,5562,3473,40700,29165,6698.691528,3704,3757.00366828799,135573,250043.590322702,
1892,228.30118257895,10810.033,15699.237,7185,458.06049188281,4268.318724,45263,71300.763,676.293290189753,4824,10382,24592,,9360,2189.968833,3614.40684,970,6257,4362,46100,28213,7039.28697048,4116,4534.31477207171,136179,255856.330272995,
1893,277.222864560153,10877.387821,17449.6117,8167,556.216311571983,4233.4216,48178,79250.3883,821.213280944699,5770,10288,21518,,9480,2203.614023421,3584.856,1100,6500,4300,56200,23500,6981.734832,4314,5505.95365180136,128301,261804.198445077,
1894,358.759001195492,10707.753457,17751.506223,8339,719.809344387272,4209.966156,51751,80621.493777,1062.74659886961,6720,10195,22230,,9600,2169.248358657,3564.99396,1240,6750,4300,65000,24000,6943.05224712,4974,7125.35178468411,136257,267890.336152075,
1895,440.295137830831,11159.28022,21390.841991,8837,883.402377202561,5062.9434,52595,97150.158009,1304.27991679452,7670,10101,22755,,9720,2260.72167222,4287.294,1380,7000,5300,68788,24000,8349.777468,5271,8744.74991756687,133233,274117.957732933,
1896,482.693928881208,12185.401814,22927.382256,9785,968.470754266512,5649.3295,56132,104128.617744,1429.87724211548,8620,8752,27680,,9850,2468.600252214,4783.845,1520,7250,6300,72000,24000,9316.84209,5831,9586.8369466659,124690,280490.352250027,
1897,521.831274466171,12748.355071,24169.065587,10101,1046.99541001785,5677.9337,58342,109767.934413,1545.81323471943,9570,9720,34650,,10500,2582.647090671,4808.067,1660,7500,7300,85910,20500,9364.015974,6433,10364.1480504496,123688,287010.885226263,
1898,580.537292843615,14967.738,26162.327333,10507,1164.78239364486,5677.9337,58042,118820.672667,1719.71722362537,10500,10687,34503,,11200,3032.264538,4808.067,1800,7956,8300,92369,22734,9364.015974,7002,11530.1147061252,129080,293683.000422541,
1899,619.674638428578,17187.95247,28432.761815,11333,1243.3070493962,5677.9337,68330,129132.238185,1835.65321622933,11470,12785,37634,,11900,3482.05044447,4808.067,1940,8696,9300,99444,31038,9364.015974,7425,12307.4258099089,152764,300510.221656546,
1900,668.596320409781,19408.16694,29737.963898,11473,1341.46286908537,5677.9337,72349,135060.036102,1980.57320698427,12420,11409,37041,,12500,3931.83635094,4808.067,2080,9986,10300,110316,32331,9364.015974,7430,13279.0646896386,153571,307496.154663828,
1901,764.743732730173,21628.38141,29845.512694,11642,1534.37177338116,5720.267916,74987,135548.487306,2265.38929548133,13352,6432,33944,,13209,4381.62225741,4843.91556,2220,8965,11300,128249,36083,9433.83332232,7440,15188.6589679339,148926,314644.48900213,
1902,980.684036995205,23842.775093,31212.429019,11171,1967.63156148917,5801.217802,82048,141756.570981,2905.06613467367,13351,8254,40154,,13453,4830.228949893,4912.46382,2357,10210,12274,132266,45243,9567.33541404,7449,19477.4729830606,142682,321959,
1903,1230.51075964588,21147.750712,34347.945595,11241,2468.88061403522,6556.08264,86973,155997.054405,3645.1242207956,15842,8926,43435,6529,14612,4284.252873912,5551.6824,1937,11135,14672,182668,48694,10812.2542128,7666,24439.3088622134,127696,356920,
1904,1501.63472118571,22915.606878,36448.575686,11842,3012.86016675262,7528.339398,88936,165537.424314,4448.27080955951,17781,9598,49970,7619,16095,4642.397007678,6374.98818,1350,10864,11196,202592,45092,12415.69452996,7602,29824.1315336751,120692,358601,
1905,1506.36381711056,21674.947706,40424.993922,12446,3022.3485626559,8523.765558,93528,183597.006078,4462.27974199916,18075,10270,51894,9348,17714,4391.055969306,7217.91378,1612,10460,12220,310881,39916,14057.34569316,8373,29918.0566253823,132389,395816,
1906,1718.97744700087,22422.503065,46496.989621,12938,3448.93375502505,10298.94221,98772,211174.010379,5092.10202182016,17331,12150,56325,12895,21009,4542.500737065,8721.1311,1435,10647,10844,376336,43449,16984.9569342,8907,34140.7991966873,156587,469199,
